brand,price,Kondisi,TahunKendaraan,Kilometer,Warna,Transmisi,JumlahGir,Pintu,KapasitasKursi,Dirakit,EngineCC,Baut(mm),Struk(mm),TenagaPuncak(hp),TenagaPutaranPuncak(Nm),InjeksiLangsung,Aspirasi,TipeBahanBakar,RadiusPutar,Panjang(mm),Lebar(mm),Tinggi(mm),JarakRoda(mm),ThreadDepan,ThreadBelakang,KonsumsiBahanBakar(L/100km),BeratKosong(kg),RasioKompresi,EmisiCO2,0-100km/jam(detik),KecepatanTertinggi(km/jam)
Wuling,398800000,Mobil Baru,2024,0 - 5K km,Lainnya,Automatic,1,5,5,Complete Knock Down (CKD),,,,,,,,Electric,,4295,1850,1652,2700,,,,,,,,150
Honda,88000000,Mobil Bekas,2014,95 - 100K km,Abu-abu,Manual,5,5,5,,1198,,,87,109,Multi-Point Injection,Aspirated,Pertamax,,3610,1680,1485,2345,,,,930,,,,
Honda,490000000,Mobil Bekas,2020,30 - 35K km,Hitam,Automatic,,4,5,Complete Built Up (CBU),1498,73,89.5,187,260,Direct Injection,Turbocharged,Pertamax,,4894,1862,1450,2830,1591,1603,,,10.3,,,
Suzuki,130000000,Mobil Baru,2023,0 - 5K km,Putih,Manual,5,2,3,Complete Knock Down (CKD),1462,74,85,96,135,Multi-Point Injection,Aspirated,Pertamax,8.8,4195,1765,1910,2205,1345,1330,,,,,,
Hyundai,320400000,Mobil Baru,2024,- km,Silver,Automatic,,5,7,Complete Knock Down (CKD),1497,75.6,83.4,113,144,Multi-Point Injection,Aspirated,Pertamax,,4495,1815,1710,2780,,,,,10.5,,,
Hyundai,259000000,Mobil Baru,2024,0 - 5K km,Hitam,Automatic,,5,7,Complete Knock Down (CKD),1497,75.6,83.4,113,144,Multi-Point Injection,Aspirated,Pertamax,,4460,1780,1695,2780,,,,1272,10.5,,,
Mercedes-Benz,235000000,Mobil Bekas,2013,51000 km,Abu-abu,Automatic,7,4,5,Complete Built Up (CBU),1796,,,184,270,Direct Injection,Turbocharged,Pertamax,,4582,1770,1447,2760,,,6.9,1505,,161,7.8,
Wuling,398800000,Mobil Baru,2024,0 - 5K km,Putih,Automatic,1,5,5,Complete Knock Down (CKD),,,,,,,,Electric,,4295,1850,1652,2700,,,,,,,,150
Hyundai,333440000,Mobil Baru,2024,0 - 5K km,Putih,Automatic,,5,5,Complete Knock Down (CKD),1497,,,113,144,Multi-Point Injection,Aspirated,Pertamax,,4315,1790,1630,2610,1572,1576,,1200,,,,
Hyundai,320400000,Mobil Baru,2024,- km,Abu-abu,Automatic,,5,7,Complete Knock Down (CKD),1497,75.6,83.4,113,144,Multi-Point Injection,Aspirated,Pertamax,,4495,1815,1710,2780,,,,,10.5,,,
Hyundai,716000000,Mobil Baru,2024,0 - 5K km,Putih,Automatic,1,5,5,Complete Knock Down (CKD),,,,,,,,Electric,,4635,1890,1605,3000,1638,1647,,1830,,,7.4,185
Toyota,93000000,Mobil Bekas,2016,94000 km,Abu-abu,Automatic,4,5,5,Complete Knock Down (CKD),998,71,84,64,86,Multi-Point Injection,Aspirated,Pertamax,,3600,1620,1520,2450,1410,1405,,800,,,,
Hyundai,278000000,Mobil Baru,2024,0 - 5K km,Hitam,Automatic,,5,7,Complete Knock Down (CKD),1497,75.6,83.4,113,144,Multi-Point Injection,Aspirated,Pertamax,,4495,1815,1710,2780,,,,,10.5,,,
Honda,178000000,Mobil Bekas,2019,20 - 25K km,Silver,Automatic,,5,7,Complete Knock Down (CKD),1497,73,89.4,118,145,Multi-Point Injection,Aspirated,Pertamax,10.6,4456,1735,1666,2662,1500,1500,,1222,10.3,,,
Mitsubishi,225000000,Mobil Bekas,2019,60 - 65K km,Putih,Automatic,4,5,7,Complete Knock Down (CKD),1499,75,84.8,103,141,Multi-Point Injection,Aspirated,Pertamax,10.4,4475,1750,1700,2275,,,,,,,,
Suzuki,125000000,Mobil Baru,2023,0 - 5K km,Hitam,Manual,5,2,3,Complete Knock Down (CKD),1462,74,85,96,135,Multi-Point Injection,Aspirated,Pertamax,8.8,4195,1675,1870,2205,1345,1330,,,,,,
Toyota,234000000,Mobil Baru,2024,0 - 5K km,Hitam,Automatic,,5,5,Complete Knock Down (CKD),1198,73.5,94.1,87,113,Multi-Point Injection,Aspirated,Pertamax,10.2,4030,1710,1635,2525,1475,1470,,1680,12.8,,,
Isuzu,510500000,Mobil Bekas,2018,50 - 55K km,Putih,Manual,,2,3,,5193,,,,,,,Solar,,,,,,,,,,,,,
Hyundai,259000000,Mobil Baru,2024,0 - 5K km,Hitam,Automatic,,5,7,Complete Knock Down (CKD),1497,75.6,83.4,113,144,Multi-Point Injection,Aspirated,Pertamax,,4460,1780,1695,2780,,,,1272,10.5,,,
Hyundai,333440000,Mobil Baru,2024,0 - 5K km,Putih,Automatic,,5,5,Complete Knock Down (CKD),1497,,,113,144,Multi-Point Injection,Aspirated,Pertamax,,4315,1790,1630,2610,1572,1576,,1200,,,,
Toyota,359500000,Mobil Bekas,2019,45 - 50K km,Hitam,Automatic,6,5,8,Complete Knock Down (CKD),2393,92,90,147,360,Direct Injection,Turbocharged,Solar,,4735,1830,1795,2750,1540,1540,,,,,,
Suzuki,213500000,Mobil Bekas,2022,15 - 20K km,Orange,Automatic,4,5,7,Complete Knock Down (CKD),1462,74,85,103,138,Multi-Point Injection,Aspirated,Pertamax,10.2,4450,1775,1710,2740,1515,1530,,,10.5,,,
Hyundai,716000000,Mobil Baru,2024,0 - 5K km,Putih,Automatic,1,5,5,Complete Knock Down (CKD),,,,,,,,Electric,,4635,1890,1605,3000,1638,1647,,1830,,,7.4,185
Hyundai,379800000,Mobil Baru,2024,0 - 5K km,Putih,Automatic,,5,5,Complete Knock Down (CKD),1497,,,113,144,Multi-Point Injection,Aspirated,Pertamax,,4315,1790,1630,2610,1572,1576,,1200,,,,
Mazda,662000000,Mobil Bekas,2022,5 - 10K km,Putih,Automatic,6,5,6,Complete Built Up (CBU),2488,89,100,188,252,Direct Injection,Aspirated,Pertamax,11.6,4900,1840,1730,2930,1595,1600,,1792,13,,,
Toyota,120000000,Mobil Bekas,2022,46837 km,Abu-abu,Automatic,4,5,7,Complete Knock Down (CKD),1197,72.5,72.5,87,108,Multi-Point Injection,Aspirated,Pertamax,,4070,1655,1600,2525,,,,990,,,,
Mitsubishi,207000000,Mobil Bekas,2018,80729 km,Silver,Automatic,4,5,7,Complete Knock Down (CKD),1499,75,84.8,103,141,Multi-Point Injection,Aspirated,Pertamax,10.4,4475,1750,1700,2275,,,,,,,,
Honda,212000000,Mobil Bekas,2016,135 - 140K km,Putih,Automatic,5,5,5,Complete Knock Down (CKD),2354,,,188,222,Multi-Point Injection,Aspirated,Pertamax,,4595,1820,1685,2620,1580,1580,8.4,1560,,196,,
Hyundai,360000000,Mobil Bekas,2018,35 - 40K km,Abu-abu,Automatic,4,5,8,Complete Knock Down (CKD),2359,88,97,173,228,Multi-Point Injection,Aspirated,Pertamax,11.2,5125,1920,1925,3200,1685,1660,,,10.5,,,
Honda,145000000,Mobil Bekas,2017,84000 km,Hitam,Automatic,,5,7,Complete Knock Down (CKD),1496,73,89.4,116,145,Multi-Point Injection,Aspirated,Pertamax,,4386,1683,1603,2650,1472,1475,6.2,,10.3,148,,
Honda,285000000,Mobil Baru,2024,0 - 5K km,Putih,Automatic,,5,5,Complete Knock Down (CKD),1498,73,89.5,119,145,Multi-Point Injection,Aspirated,Pertamax,,4060,1780,1608,2485,1540,1540,,,10.6,,,
Toyota,359500000,Mobil Bekas,2019,45 - 50K km,Hitam,Automatic,6,5,8,Complete Knock Down (CKD),2393,92,90,147,360,Direct Injection,Turbocharged,Solar,,4735,1830,1795,2750,1540,1540,,,,,,
Suzuki,213500000,Mobil Bekas,2022,15 - 20K km,Orange,Automatic,4,5,7,Complete Knock Down (CKD),1462,74,85,103,138,Multi-Point Injection,Aspirated,Pertamax,10.2,4450,1775,1710,2740,1515,1530,,,10.5,,,
Hyundai,716000000,Mobil Baru,2024,0 - 5K km,Putih,Automatic,1,5,5,Complete Knock Down (CKD),,,,,,,,Electric,,4635,1890,1605,3000,1638,1647,,1830,,,7.4,185
Hyundai,379800000,Mobil Baru,2024,0 - 5K km,Putih,Automatic,,5,5,Complete Knock Down (CKD),1497,,,113,144,Multi-Point Injection,Aspirated,Pertamax,,4315,1790,1630,2610,1572,1576,,1200,,,,
Mazda,662000000,Mobil Bekas,2022,5 - 10K km,Putih,Automatic,6,5,6,Complete Built Up (CBU),2488,89,100,188,252,Direct Injection,Aspirated,Pertamax,11.6,4900,1840,1730,2930,1595,1600,,1792,13,,,
Toyota,120000000,Mobil Bekas,2022,46837 km,Abu-abu,Automatic,4,5,7,Complete Knock Down (CKD),1197,72.5,72.5,87,108,Multi-Point Injection,Aspirated,Pertamax,,4070,1655,1600,2525,,,,990,,,,
Mitsubishi,207000000,Mobil Bekas,2018,80729 km,Silver,Automatic,4,5,7,Complete Knock Down (CKD),1499,75,84.8,103,141,Multi-Point Injection,Aspirated,Pertamax,10.4,4475,1750,1700,2275,,,,,,,,
Honda,212000000,Mobil Bekas,2016,135 - 140K km,Putih,Automatic,5,5,5,Complete Knock Down (CKD),2354,,,188,222,Multi-Point Injection,Aspirated,Pertamax,,4595,1820,1685,2620,1580,1580,8.4,1560,,196,,
Hyundai,360000000,Mobil Bekas,2018,35 - 40K km,Abu-abu,Automatic,4,5,8,Complete Knock Down (CKD),2359,88,97,173,228,Multi-Point Injection,Aspirated,Pertamax,11.2,5125,1920,1925,3200,1685,1660,,,10.5,,,
Honda,145000000,Mobil Bekas,2017,84000 km,Hitam,Automatic,,5,7,Complete Knock Down (CKD),1496,73,89.4,116,145,Multi-Point Injection,Aspirated,Pertamax,,4386,1683,1603,2650,1472,1475,6.2,,10.3,148,,
Honda,285000000,Mobil Baru,2024,0 - 5K km,Putih,Automatic,,5,5,Complete Knock Down (CKD),1498,73,89.5,119,145,Multi-Point Injection,Aspirated,Pertamax,,4060,1780,1608,2485,1540,1540,,,10.6,,,
Mitsubishi,345000000,Mobil Bekas,2016,85 - 90K km,Hitam,Automatic,5,4,5,Complete Built Up (CBU),2477,,,176,400,Direct Injection,Turbocharged,Solar,11.8,5255,1815,1795,3000,,,,1905,16.5,,,
Toyota,289000000,Mobil Baru,2024,0 - 5K km,Hitam,Automatic,,5,7,Complete Knock Down (CKD),1496,72.5,90.6,105,137,Multi-Point Injection,Aspirated,Pertamax,9.8,4475,1750,1700,2750,1515,1510,,,,,,
Wuling,398800000,Mobil Baru,2024,0 - 5K km,Biru,Automatic,1,5,5,Complete Knock Down (CKD),,,,,,,,Electric,,4295,1850,1652,2700,,,,,,,,150
Suzuki,240000000,Mobil Baru,2024,0 - 5K km,Orange,Automatic,4,5,7,Complete Built Up (CBU),1462,74,85,103,138,Multi-Point Injection,Aspirated,Pertamax,10.2,4450,1775,1710,2740,1515,1530,,,10.5,,,
Mercedes-Benz,825000000,Mobil Baru,2024,0 - 5K km,Putih,Automatic,7,4,5,Complete Knock Down (CKD),1332,,,163,250,Direct Injection,Turbocharged,Pertamax,,4549,1796,1446,2729,1567,1547,5.5,1385,10.6,126,8.1,230
Hyundai,243000000,Mobil Bekas,2014,70 - 75K km,Biru,Automatic,6,5,7,Complete Built Up (CBU),2199,85.4,96,194,436,Direct Injection,Turbocharged,Solar,10.9,4690,1880,1690,2700,,,,1874,16,,,
Hyundai,278000000,Mobil Baru,2024,0 - 5K km,Hitam,Automatic,,5,7,Complete Knock Down (CKD),1497,75.6,83.4,113,144,Multi-Point Injection,Aspirated,Pertamax,,4495,1815,1710,2780,,,,,10.5,,,
Volkswagen,325000000,Mobil Bekas,2012,80 - 85K km,Putih,Automatic,6,5,5,Complete Built Up (CBU),1984,,,208,280,Direct Injection,Turbocharged,Pertamax,,4213,1786,1501,2578,,,,1414,,,,
Hyundai,379800000,Mobil Baru,2024,0 - 5K km,Lainnya,Automatic,,5,5,Complete Knock Down (CKD),1497,,,113,144,Multi-Point Injection,Aspirated,Pertamax,,4315,1790,1630,2610,1572,1576,,1200,,,,
Hyundai,955000000,Mobil Bekas,2023,10 - 15K km,Hitam,Automatic,8,5,7,Complete Built Up (CBU),2199,,,198,440,Direct Injection,Turbocharged,Solar,,4995,1975,1750,2900,1708,1716,,1956,,,,
Toyota,160400000,Mobil Baru,2024,- km,Putih,Automatic,4,5,5,Complete Knock Down (CKD),1197,72.5,72.5,87,108,Multi-Point Injection,Aspirated,Pertamax,,3660,1600,1520,2450,1420,1415,,,,,,
Toyota,457600000,Mobil Baru,2024,0 - 5K km,Hitam,Automatic,,5,8,Complete Knock Down (CKD),1987,80.5,97.6,111,188,Direct Injection,Aspirated,Pertamax,,4755,1850,1795,2850,1560,1580,,1685,14,,,
Hino,274000000,Mobil Bekas,2019,80 - 85K km,Hijau,Manual,,2,2,,4009,,,,,,,Diesel,,,,,,,,,,,,,
Suzuki,109000000,Mobil Bekas,2017,90 - 95K km,Abu-abu,Automatic,4,5,7,Complete Knock Down (CKD),1493,75,84.5,104,126,Multi-Point Injection,Aspirated,Pertamax,10.8,4155,1655,1865,2625,1425,1425,,1325,9.5,,,
Hyundai,379800000,Mobil Baru,2024,0 - 5K km,Putih,Automatic,,5,5,Complete Knock Down (CKD),1497,,,113,144,Multi-Point Injection,Aspirated,Pertamax,,4315,1790,1630,2610,1572,1576,,1200,,,,
Honda,120000000,Mobil Bekas,2012,60 - 65K km,Hitam,Automatic,5,5,7,Complete Knock Down (CKD),1497,73,89.4,116,146,Multi-Point Injection,Aspirated,Pertamax,10.4,4215,1700,1740,2740,1478,1466,7.2,1330,10.4,,,
Ford,827000000,Mobil Baru,2023,0 - 5K km,Putih,Automatic,10,5,7,Complete Built Up (CBU),1996,84,90,208,500,Direct Injection,Turbocharged,Solar,,4914,2207,1841,2900,,,,,,,,
MINI,850000000,Mobil Bekas,2023,100 km,Hijau,Automatic,,3,4,Complete Built Up (CBU),,,,,,,,Electric,,3850,1727,1432,2495,1484,1493,,1440,,,7.3,150
Honda,188000000,Mobil Bekas,2014,40 - 45K km,Putih,Automatic,5,4,5,Complete Built Up (CBU),1798,,,139,174,Multi-Point Injection,Aspirated,Pertamax,,4540,1755,1435,2700,1500,1520,6.6,1242,,,,
Honda,157000000,Mobil Bekas,2018,25 - 30K km,Putih,Automatic,,5,7,Complete Knock Down (CKD),1496,73,89.4,116,145,Multi-Point Injection,Aspirated,Pertamax,,4386,1683,1603,2650,1472,1475,6.2,,10.3,148,,
KIA,173000000,Mobil Bekas,2017,25 - 30K km,Marun,Automatic,4,5,5,Complete Built Up (CBU),1368,,,99,133,Multi-Point Injection,Aspirated,Pertamax,10.2,4065,1725,1460,2580,1518,1524,,,,,,
MINI,725000000,Mobil Bekas,2023,4000 km,Biru,Automatic,7,3,4,Complete Built Up (CBU),1998,82,94.6,189,280,Direct Injection,Turbocharged,Pertamax,10.8,3850,1727,1414,2495,1485,1485,5.5,1205,11,125,6.7,235
Daihatsu,148000000,Mobil Bekas,2023,15 - 20K km,Silver,Automatic,4,5,7,Complete Knock Down (CKD),1197,72.5,72.5,87,108,Multi-Point Injection,Aspirated,Pertamax,9,4070,1655,1600,2525,1470,1475,4.2,990,,,,
Hyundai,379800000,Mobil Baru,2024,0 - 5K km,Lainnya,Automatic,,5,5,Complete Knock Down (CKD),1497,,,113,144,Multi-Point Injection,Aspirated,Pertamax,,4315,1790,1630,2610,1572,1576,,1200,,,,
Toyota,426000000,Mobil Bekas,2023,15 - 20K km,Hitam,Automatic,,5,8,Complete Knock Down (CKD),1987,80.5,97.6,172,205,Direct Injection,Aspirated,Pertamax,,4755,1850,1795,2850,1560,1580,,1595,13,,,
Hyundai,177000000,Mobil Bekas,2012,110 - 115K km,Putih,Automatic,5,5,9,Complete Knock Down (CKD),2497,,,168,441,Direct Injection,Turbocharged,Solar,11.2,5125,1920,1935,3200,1685,1660,,,,,,
Toyota,118000000,Mobil Bekas,2010,95 - 100K km,Silver,Automatic,5,4,5,Complete Built Up (CBU),2362,85.5,96,165,224,Multi-Point Injection,Aspirated,Pertamax,11,4825,1820,1470,2775,1575,1565,,1500,9.8,,,
Toyota,426000000,Mobil Bekas,2023,15 - 20K km,Hitam,Automatic,,5,8,Complete Knock Down (CKD),1987,80.5,97.6,172,205,Direct Injection,Aspirated,Pertamax,,4755,1850,1795,2850,1560,1580,,1595,13,,,
Honda,117000000,Mobil Bekas,2010,125 - 130K km,Hitam,Automatic,5,4,5,Complete Built Up (CBU),1497,,,118,145,Multi-Point Injection,Aspirated,Pertamax,,4395,1715,1470,2550,,,,1155,,,,
Daihatsu,88000000,Mobil Bekas,2010,105 - 110K km,Silver,Automatic,4,5,7,Complete Knock Down (CKD),1298,,,91,120,Multi-Point Injection,Aspirated,Pertamax,,4120,1630,1685,2655,,,,1050,,,,
Suzuki,153000000,Mobil Baru,2023,0 - 5K km,Merah,Automatic,5,5,4,Complete Built Up (CBU),998,73,79.5,67,90,Multi-Point Injection,Aspirated,Pertamax,,3565,1520,1549,2380,1315,1320,,,11,,,
Mercedes-Benz,128000000,Mobil Bekas,2003,75 - 80K km,Hitam,Automatic,5,4,5,Complete Knock Down (CKD),2597,89.9,68.2,174,240,Multi-Point Injection,Aspirated,Pertamax,11.4,4818,1822,1452,2854,1577,1570,9.9,1495,,,9.1,
Nissan,118000000,Mobil Bekas,2015,85 - 90K km,Hitam,Automatic,,5,7,Complete Knock Down (CKD),1498,78,78.4,107,143,Multi-Point Injection,Aspirated,Pertamax,11,4540,1735,1650,2600,,,,1260,,,,
Toyota,155000000,Mobil Bekas,2023,0 - 5K km,Orange,Automatic,4,5,5,Complete Knock Down (CKD),1197,72.5,72.5,87,108,Multi-Point Injection,Aspirated,Pertamax,,3660,1600,1520,2450,1420,1415,,,,,,
Nissan,127000000,Mobil Bekas,2018,55 - 60K km,Merah,Automatic,4,5,5,Complete Built Up (CBU),1198,78,83.6,75,104,Multi-Point Injection,Aspirated,Pertamax,9,3780,1665,1525,2440,,,,935,,,,
Volkswagen,370000000,Mobil Bekas,2018,35 - 40K km,Putih,Automatic,7,3,4,Complete Built Up (CBU),1390,,,160,240,Direct Injection,Turbocharged & Supercharged,Pertamax,11,4256,1810,1406,2578,1569,1579,6.5,,,154,8,218
Suzuki,250000000,Mobil Baru,2024,0 - 5K km,Silver,Automatic,4,5,7,Complete Knock Down (CKD),1462,,,103,138,Multi-Point Injection,Aspirated,Pertamax,10.4,4395,1735,1690,2740,,,,,10.5,,,
Toyota,390000000,Mobil Bekas,2019,65 - 70K km,Hitam,Automatic,6,5,7,Complete Knock Down (CKD),2393,92,90,147,400,Direct Injection,Turbocharged,Solar,11.6,4795,1855,1835,2745,1545,1555,,,,,,
Mitsubishi,405000000,Mobil Bekas,2019,55 - 60K km,Hitam,Automatic,8,5,7,Complete Knock Down (CKD),2442,86,105.1,178,430,Direct Injection,Turbocharged,Solar,11.2,4785,1815,1805,2800,,,,1935,15.5,,,
Suzuki,153000000,Mobil Baru,2023,0 - 5K km,Merah,Automatic,5,5,4,Complete Built Up (CBU),998,73,79.5,67,90,Multi-Point Injection,Aspirated,Pertamax,,3565,1520,1549,2380,1315,1320,,,11,,,
Mercedes-Benz,128000000,Mobil Bekas,2003,75 - 80K km,Hitam,Automatic,5,4,5,Complete Knock Down (CKD),2597,89.9,68.2,174,240,Multi-Point Injection,Aspirated,Pertamax,11.4,4818,1822,1452,2854,1577,1570,9.9,1495,,,9.1,
Nissan,118000000,Mobil Bekas,2015,85 - 90K km,Hitam,Automatic,,5,7,Complete Knock Down (CKD),1498,78,78.4,107,143,Multi-Point Injection,Aspirated,Pertamax,11,4540,1735,1650,2600,,,,1260,,,,
Toyota,155000000,Mobil Bekas,2023,0 - 5K km,Orange,Automatic,4,5,5,Complete Knock Down (CKD),1197,72.5,72.5,87,108,Multi-Point Injection,Aspirated,Pertamax,,3660,1600,1520,2450,1420,1415,,,,,,
Nissan,127000000,Mobil Bekas,2018,55 - 60K km,Merah,Automatic,4,5,5,Complete Built Up (CBU),1198,78,83.6,75,104,Multi-Point Injection,Aspirated,Pertamax,9,3780,1665,1525,2440,,,,935,,,,
Volkswagen,370000000,Mobil Bekas,2018,35 - 40K km,Putih,Automatic,7,3,4,Complete Built Up (CBU),1390,,,160,240,Direct Injection,Turbocharged & Supercharged,Pertamax,11,4256,1810,1406,2578,1569,1579,6.5,,,154,8,218
Suzuki,250000000,Mobil Baru,2024,0 - 5K km,Silver,Automatic,4,5,7,Complete Knock Down (CKD),1462,,,103,138,Multi-Point Injection,Aspirated,Pertamax,10.4,4395,1735,1690,2740,,,,,10.5,,,
Toyota,390000000,Mobil Bekas,2019,65 - 70K km,Hitam,Automatic,6,5,7,Complete Knock Down (CKD),2393,92,90,147,400,Direct Injection,Turbocharged,Solar,11.6,4795,1855,1835,2745,1545,1555,,,,,,
Mitsubishi,405000000,Mobil Bekas,2019,55 - 60K km,Hitam,Automatic,8,5,7,Complete Knock Down (CKD),2442,86,105.1,178,430,Direct Injection,Turbocharged,Solar,11.2,4785,1815,1805,2800,,,,1935,15.5,,,
Toyota,2095000000,Mobil Baru,2024,- km,Hitam,Automatic,,5,7,Complete Built Up (CBU),2487,,,247,270,Multi-Point Injection,Aspirated,Pertamax,,5010,1850,1945,3000,1605,1625,5.8,2170,14,134,,180
Honda,197000000,Mobil Bekas,2015,100 - 105K km,Putih,Automatic,5,5,5,Complete Knock Down (CKD),2354,87,99,187,222,Multi-Point Injection,Aspirated,Pertamax,11.8,4545,1820,1685,2620,1565,1565,8.4,1530,10,196,,
Suzuki,131500000,Mobil Baru,2023,0 - 5K km,Putih,Manual,5,2,3,Complete Knock Down (CKD),1462,74,85,96,135,Multi-Point Injection,Aspirated,Pertamax,8.8,4195,1675,1870,2205,1345,1330,,,,,,
Lexus,775000000,Mobil Bekas,2018,50 - 55K km,Putih,Automatic,6,5,5,Complete Built Up (CBU),1998,86,86,235,350,Direct Injection,Turbocharged,Pertamax,11.8,4890,1895,1690,2790,1640,1630,8.4,2070,10,195,9.5,200
Nissan,175000000,Mobil Bekas,2019,70 - 75K km,Hitam,Automatic,4,5,7,Complete Knock Down (CKD),1499,75,84.8,103,141,Multi-Point Injection,Aspirated,Pertamax,,4510,1750,1700,2775,,,,,10.5,,,
Toyota,658000000,Mobil Bekas,2016,70 - 75K km,Hitam,Automatic,,5,7,Complete Built Up (CBU),2494,90,98,177,234,Multi-Point Injection,Aspirated,Pertamax,11.6,4915,1850,1895,3000,1575,1570,8.6,2360,10.4,200,11.3,
Mercedes-Benz,445000000,Mobil Bekas,2014,25 - 30K km,Hitam,Automatic,7,4,5,Complete Knock Down (CKD),2996,,,328,480,Direct Injection,Turbocharged,Pertamax,,4879,1854,1474,2874,,,7.9,1785,,185,,
Hyundai,655000000,Mobil Bekas,2021,25 - 30K km,Biru,Automatic,8,5,7,Complete Built Up (CBU),2199,,,198,440,Direct Injection,Turbocharged,Solar,,4980,1975,1750,2900,1708,1716,,1948,,,,
BMW,135000000,Mobil Bekas,2008,60 - 65K km,Silver,Automatic,6,4,5,Complete Knock Down (CKD),1995,84,90,147,200,Multi-Point Injection,Aspirated,Pertamax,,4531,1817,1421,2760,,,,1425,,,9.8,
Hyundai,737000000,Mobil Baru,2023,0 - 5K km,Hitam,Automatic,1,5,5,Complete Knock Down (CKD),,,,,,,,Electric,,4635,1890,1605,3000,1628,1637,,1910,,,7.4,185
Toyota,255000000,Mobil Bekas,2020,50 - 55K km,Hitam,Automatic,6,5,8,Complete Knock Down (CKD),1998,86,86,137,183,Multi-Point Injection,Aspirated,Pertamax,,4735,1830,1795,2750,1540,1540,,1715,,,,
Hyundai,737000000,Mobil Baru,2023,0 - 5K km,Hitam,Automatic,1,5,5,Complete Knock Down (CKD),,,,,,,,Electric,,4635,1890,1605,3000,1628,1637,,1910,,,7.4,185
BMW,379000000,Mobil Bekas,2018,40 - 45K km,Hitam,Automatic,6,5,5,Complete Knock Down (CKD),1499,82,94.6,136,220,Direct Injection,Turbocharged,Pertamax,,4439,1821,1612,2670,1561,1562,5.6,1505,,129,9.7,
Mitsubishi,265000000,Mobil Bekas,2022,5 - 10K km,Putih,Automatic,,5,7,Complete Knock Down (CKD),1499,75,84.8,103,141,Multi-Point Injection,Aspirated,Pertamax,10.4,4500,1800,1750,2275,,,,,,,,
Toyota,140000000,Mobil Bekas,2013,120 - 125K km,Silver,Manual,5,5,8,Complete Knock Down (CKD),1998,,,134,182,Multi-Point Injection,Aspirated,Pertamax,,4585,1760,1750,2750,,,9.1,1525,,,,
Hyundai,895000000,Mobil Bekas,2023,7500 km,Putih,Automatic,8,5,7,Complete Built Up (CBU),2199,,,198,440,Direct Injection,Turbocharged,Solar,,4995,1975,1750,2900,1708,1716,,1884,,,,
Hyundai,737000000,Mobil Baru,2023,0 - 5K km,Hitam,Automatic,1,5,5,Complete Knock Down (CKD),,,,,,,,Electric,,4635,1890,1605,3000,1628,1637,,1910,,,7.4,185
Mercedes-Benz,720000000,Mobil Bekas,2020,25 - 30K km,Merah,Automatic,7,5,7,Complete Built Up (CBU),1332,,,163,250,Direct Injection,Turbocharged,Pertamax,11.7,4634,2020,1663,2829,1590,1590,6.5,1555,10.6,148,9.1,207
Ford,118000000,Mobil Bekas,2014,85 - 90K km,Orange,Automatic,6,5,5,Complete Built Up (CBU),1499,79,76.4,108,142,Multi-Point Injection,Aspirated,Pertamax,10.6,4245,2054,1708,2521,1519,1524,6.5,1266,,154,,
Lexus,323000000,Mobil Bekas,2013,100 - 105K km,Hitam,Automatic,6,5,5,Complete Built Up (CBU),2672,,,182,252,Multi-Point Injection,Aspirated,Pertamax,,4770,1885,1725,2740,,,9.6,1950,,222,,
Daihatsu,75000000,Mobil Bekas,2017,144315 km,Putih,Manual,5,5,2,Complete Knock Down (CKD),1298,72,79.7,87,115,Multi-Point Injection,Aspirated,Pertamax,9.4,4045,1665,1900,2650,1460,1440,5.9,2000,,,,
MINI,511000000,Mobil Bekas,2019,30 - 35K km,Silver,Automatic,6,5,5,Complete Knock Down (CKD),1499,,,136,220,Direct Injection,Turbocharged,Pertamax,,4299,1822,1557,2670,1565,1567,5.7,1465,,130,9.6,200
Honda,190000000,Mobil Bekas,2017,55 - 60K km,Abu-abu,Automatic,,5,5,Complete Knock Down (CKD),1497,73,89.4,118,145,Multi-Point Injection,Aspirated,Pertamax,,4294,1772,1580,2610,1472,1475,6.5,1226,10.3,155,,
Toyota,209000000,Mobil Bekas,2021,20 - 25K km,Hitam,Automatic,7,4,5,Complete Knock Down (CKD),1496,72.5,90.5,106,140,Multi-Point Injection,Aspirated,Pertamax,10.2,4425,1730,1500,2550,,,,,,,,
Hyundai,737000000,Mobil Baru,2023,0 - 5K km,Hitam,Automatic,1,5,5,Complete Knock Down (CKD),,,,,,,,Electric,,4635,1890,1605,3000,1628,1637,,1910,,,7.4,185
Honda,225000000,Mobil Bekas,2017,1234 km,Kuning,Automatic,,5,5,Complete Knock Down (CKD),1497,73,89.4,118,145,Multi-Point Injection,Aspirated,Pertamax,,3955,1694,1524,2530,1476,1466,,1080,10.3,,,
Wuling,398800000,Mobil Baru,2024,0 - 5K km,Putih,Automatic,1,5,5,Complete Knock Down (CKD),,,,,,,,Electric,,4295,1850,1652,2700,,,,,,,,150
Toyota,140000000,Mobil Bekas,2020,39000 km,Merah,Automatic,4,5,5,Complete Knock Down (CKD),1197,72.5,72.5,87,108,Multi-Point Injection,Aspirated,Pertamax,,3660,1600,1520,2450,1420,1415,,,,,,
Mitsubishi,385000000,Mobil Bekas,2018,80 - 85K km,Hitam,Automatic,8,5,7,Complete Knock Down (CKD),2442,86,105.1,178,430,Direct Injection,Turbocharged,Solar,11.2,4785,1815,1805,2800,,,,1935,15.5,,,
